episode,reward,steps
394,12.0,739
395,11.0,665
396,7.0,601
397,6.0,385
398,7.0,673
399,7.0,515
400,14.0,842
401,7.0,580
402,5.0,502
403,11.0,746
404,6.0,501
405,13.0,697
406,12.0,804
407,16.0,803
408,13.0,809
409,7.0,638
410,19.0,1067
411,11.0,750
412,7.0,504
413,6.0,443
414,6.0,559
415,11.0,683
416,4.0,394
417,8.0,371
418,19.0,912
419,9.0,554
420,26.0,1328
421,15.0,928
422,8.0,405
423,9.0,563
424,8.0,394
425,11.0,639
426,4.0,341
427,8.0,694
428,7.0,372
429,8.0,784
430,8.0,593
431,16.0,1098
432,11.0,792
433,5.0,506
434,8.0,706
435,6.0,655
436,7.0,372
437,16.0,1008
438,15.0,944
439,11.0,616
440,12.0,704
441,7.0,519
442,7.0,393
443,17.0,1061
444,8.0,398
445,21.0,762
446,10.0,677
447,8.0,526
448,7.0,376
449,10.0,647
450,4.0,423
451,11.0,911
452,18.0,1089
453,4.0,362
454,10.0,763
455,10.0,635
456,12.0,732
457,6.0,380
458,21.0,1009
459,18.0,757
460,14.0,631
461,3.0,330
462,10.0,593
463,20.0,1049
464,14.0,642
465,12.0,733
466,12.0,872
467,9.0,786
468,8.0,546
469,7.0,386
470,5.0,397
471,19.0,1030
472,9.0,499
473,15.0,1413
474,26.0,1117
475,15.0,849
476,7.0,530
477,8.0,614
478,12.0,685
479,14.0,935
480,9.0,619
481,5.0,494
482,18.0,1119
483,8.0,383
484,16.0,961
485,11.0,676
486,14.0,697
487,20.0,833
488,11.0,697
489,19.0,1146
490,10.0,701
491,9.0,659
492,7.0,563
493,11.0,714
494,8.0,523
495,16.0,804
496,5.0,502
497,10.0,638
498,13.0,712
499,10.0,569
500,16.0,987
501,6.0,586
502,7.0,475
503,10.0,439
504,7.0,529
505,15.0,712
506,5.0,413
507,8.0,396
508,16.0,1014
509,11.0,697
510,18.0,1206
511,19.0,1118
512,11.0,610
513,14.0,696
514,11.0,823
515,25.0,1229
516,7.0,554
517,13.0,802
518,10.0,628
519,11.0,783
520,6.0,400
521,8.0,483
522,8.0,383
523,8.0,677
524,23.0,1061
525,16.0,1012
526,10.0,657
527,11.0,606
528,9.0,804
529,17.0,794
530,6.0,397
531,4.0,329
532,10.0,701
533,14.0,809
534,13.0,799
535,13.0,1035
536,11.0,642
537,18.0,913
538,23.0,1023
539,3.0,363
540,12.0,615
541,8.0,467
542,7.0,519
543,5.0,352
544,10.0,633
545,6.0,506
546,5.0,385
547,4.0,531
548,11.0,485
549,7.0,391
550,8.0,385
551,9.0,560
552,11.0,673
553,11.0,734
554,13.0,798
555,8.0,547
556,6.0,385
557,6.0,742
558,22.0,853
559,13.0,783
560,13.0,910
561,7.0,523
562,13.0,697
563,14.0,848
564,6.0,361
565,11.0,587
566,11.0,797
567,13.0,787
568,14.0,675
569,9.0,472
570,7.0,481
571,6.0,397
572,6.0,430
573,18.0,1490
574,6.0,416
575,8.0,674
576,17.0,733
577,8.0,526
578,9.0,499
579,2.0,505
580,8.0,660
581,14.0,663
582,7.0,679
583,14.0,911
584,14.0,838
585,6.0,510
586,13.0,870
587,11.0,623
588,7.0,384
589,5.0,395
590,11.0,559
591,15.0,667
592,8.0,540
593,8.0,659
594,26.0,1084
595,17.0,863
596,12.0,844
597,11.0,694
598,4.0,410
599,5.0,359
600,2.0,530
601,7.0,759
602,6.0,505
603,14.0,873
604,4.0,395
605,16.0,935
606,10.0,666
607,11.0,656
608,13.0,498
609,7.0,438
610,16.0,876
611,8.0,701
612,10.0,771
613,19.0,894
614,12.0,1041
615,14.0,647
616,7.0,382
617,7.0,526
618,12.0,812
619,27.0,1527
620,20.0,975
621,6.0,387
622,7.0,393
623,8.0,524
624,4.0,336
625,5.0,425
626,13.0,542
627,7.0,512
628,18.0,1261
629,5.0,378
630,4.0,383
631,7.0,538
632,17.0,971
633,5.0,341
634,4.0,384
635,14.0,649
636,6.0,376
637,17.0,938
638,5.0,536
639,19.0,1187
640,14.0,899
641,9.0,613
642,23.0,1263
643,12.0,698
644,8.0,691
645,11.0,845
646,16.0,957
647,9.0,823
648,12.0,826
649,5.0,529
650,8.0,476
651,8.0,657
652,12.0,656
653,9.0,574
654,0.0,410
655,20.0,1165
656,26.0,1111
657,9.0,498
658,12.0,704
659,16.0,802
660,7.0,531
661,17.0,761
662,5.0,356
663,5.0,556
664,16.0,1507
665,10.0,647
666,11.0,818
667,9.0,710
668,12.0,687
669,3.0,530
670,15.0,684
671,9.0,769
672,9.0,633
673,12.0,936
674,10.0,674
675,5.0,372
676,12.0,521
677,18.0,1013
678,26.0,1001
679,9.0,609
680,13.0,675
681,12.0,859
682,6.0,376
683,8.0,590
684,8.0,708
685,8.0,539
686,6.0,388
687,20.0,939
688,3.0,496
689,18.0,1022
690,5.0,363
691,19.0,996
692,20.0,1071
693,10.0,787
694,14.0,1053
695,11.0,799
696,8.0,845
697,8.0,651
698,11.0,679
699,5.0,393
700,14.0,714
701,14.0,846
702,13.0,693
703,14.0,952
704,12.0,504
705,8.0,671
706,14.0,861
707,17.0,790
708,11.0,820
709,18.0,954
710,14.0,819
711,13.0,712
712,8.0,346
713,10.0,789
714,7.0,382
715,10.0,629
716,3.0,523
717,10.0,521
718,13.0,825
719,14.0,880
720,4.0,413
721,21.0,1122
722,8.0,692
723,14.0,811
724,11.0,750
725,17.0,923
726,10.0,623
727,9.0,799
728,12.0,698
729,5.0,394
730,11.0,618
731,10.0,653
732,10.0,805
733,9.0,642
734,12.0,650
735,5.0,552
736,8.0,615
737,6.0,615
738,9.0,540
739,5.0,361
740,10.0,628
741,18.0,1011
742,16.0,887
743,11.0,649
744,7.0,451
745,6.0,622
746,7.0,531
747,7.0,683
748,12.0,891
749,17.0,1504
750,16.0,793
751,9.0,648
752,11.0,672
753,7.0,524
754,6.0,482
755,6.0,506
756,15.0,1342
757,9.0,381
758,20.0,1227
759,7.0,676
760,13.0,656
761,7.0,497
762,27.0,1123
763,11.0,797
764,12.0,772
765,13.0,855
766,5.0,382
767,13.0,859
768,12.0,681
769,6.0,482
770,16.0,937
771,13.0,529
772,12.0,544
773,10.0,626
774,8.0,523
775,18.0,1172
776,8.0,624
777,7.0,672
778,24.0,1019
779,13.0,801
780,6.0,515
781,10.0,582
782,17.0,1119
783,12.0,670
784,6.0,445
785,17.0,821
786,6.0,375
787,14.0,832
788,6.0,521
789,6.0,375
790,18.0,1413
791,5.0,496
792,11.0,1125
793,12.0,766
794,24.0,943
795,12.0,817
796,22.0,939
797,10.0,539
798,12.0,811
799,12.0,521
800,18.0,1261
801,8.0,640
802,9.0,500
803,9.0,514
804,22.0,1198
805,7.0,641
806,10.0,653
807,9.0,414
808,16.0,955
809,9.0,538
810,12.0,643
811,10.0,797
812,17.0,838
813,20.0,1065
814,17.0,1238
815,11.0,797
816,16.0,954
817,19.0,925
818,12.0,821
819,10.0,617
820,18.0,800
821,12.0,806
822,12.0,785
823,6.0,503
824,10.0,637
825,11.0,895
826,10.0,672
827,11.0,488
828,15.0,803
829,5.0,415
830,8.0,655
831,6.0,383
832,8.0,631
833,10.0,585
834,9.0,557
835,10.0,697
836,3.0,331
837,16.0,822
838,6.0,396
839,12.0,855
840,10.0,790
841,7.0,644
842,7.0,520
843,10.0,645
844,8.0,534
845,16.0,987
846,9.0,664
847,12.0,736
848,4.0,384
849,8.0,405
850,16.0,956
851,18.0,1120
852,8.0,792
853,22.0,1063
854,5.0,397
855,11.0,616
856,11.0,684
857,22.0,1174
858,12.0,811
859,26.0,1605
860,8.0,657
861,7.0,637
862,13.0,666
863,9.0,626
864,5.0,387
865,21.0,906
866,15.0,908
867,10.0,805
868,6.0,642
869,29.0,1499
870,10.0,641
871,5.0,607
872,12.0,773
873,8.0,652
874,6.0,530
875,6.0,388
876,34.0,1571
877,4.0,340
878,12.0,793
879,12.0,708
880,7.0,387
881,7.0,542
882,25.0,1096
883,4.0,482
884,9.0,646
885,7.0,536
886,2.0,503
887,10.0,700
888,15.0,906
889,14.0,808
890,7.0,589
891,6.0,397
892,6.0,417
893,6.0,557
894,17.0,971
895,9.0,639
896,8.0,691
897,7.0,521
898,8.0,490
899,6.0,617
900,23.0,913
901,16.0,980
902,16.0,809
903,14.0,619
904,15.0,994
905,29.0,1616
906,14.0,664
907,16.0,876
908,12.0,530
909,6.0,633
910,16.0,1289
911,0.0,300
912,1.0,331
913,9.0,566
914,32.0,1742
915,26.0,1560
916,8.0,714
917,6.0,386
918,18.0,1012
919,14.0,794
920,8.0,616
921,11.0,691
922,6.0,513
923,11.0,646
924,12.0,549
925,11.0,635
926,8.0,622
927,7.0,514
928,18.0,914
929,11.0,914
930,15.0,945
931,7.0,575
932,9.0,631
933,5.0,559
934,12.0,960
935,16.0,1283
936,12.0,808
937,6.0,500
938,26.0,1276
939,10.0,801
940,14.0,989
941,11.0,686
942,12.0,924
943,11.0,535
944,17.0,884
945,5.0,378
946,15.0,887
947,13.0,672
948,10.0,708
949,4.0,430
950,12.0,946
951,15.0,1060
952,14.0,839
953,12.0,651
954,11.0,795
955,11.0,777
956,13.0,788
957,13.0,772
958,11.0,636
959,23.0,1210
960,17.0,1412
961,16.0,989
962,10.0,629
963,12.0,695
964,5.0,461
965,9.0,673
966,10.0,841
967,18.0,777
968,11.0,517
969,4.0,348
970,21.0,1169
971,8.0,570
972,15.0,635
973,12.0,755
974,6.0,392
975,6.0,653
976,12.0,636
977,12.0,819
978,7.0,709
979,5.0,499
980,19.0,931
